,id,timestamp,hour,day,month,datetime,timezone,source,destination,cab_type,product_id,name,price,distance,surge_multiplier,latitude,longitude,temperature,apparentTemperature,short_summary,long_summary,precipIntensity,precipProbability,humidity,windSpeed,windGust,windGustTime,visibility,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,icon,dewPoint,pressure,windBearing,cloudCover,uvIndex,visibility.1,ozone,sunriseTime,sunsetTime,moonPhase,precipIntensityMax,uvIndexTime,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,83a21f0e-e116-492c-bae1-3964190c35b2,1543570684.0,9.0,30.0,11.0,11/30/18 09:38,America/New_York,Boston University,Beacon Hill,Uber,6c84fd89-3f11-4782-9b50-97c468b19529,Black,19.5,2.79,1.0,42.3661,-71.0631,30.04,27.07, Clear , Mostly cloudy throughout the day. ,0.0,0.0,0.85,3.02,3.02,1543554000.0,9.888,42.58,1543600800.0,31.55,1543658400.0,40.53,1543611600.0,27.95,1543658400.0, clear-night ,26.11,1015.25,311.0,0.0,0.0,9.888,282.9,1543578869.0,1543612472.0,0.79,0.0003,1543593600.0,28.68,1543575600.0,42.58,1543600800.0,27.26,1543568400.0,40.53,1543611600.0
1,ecd2325b-3a4e-49f8-ac67-ea047b5c7625,1544832913.0,0.0,15.0,12.0,12/15/18 00:15,America/New_York,Fenway,Beacon Hill,Lyft,lyft,Lyft,10.5,2.4,1.25,42.3505,-71.1054,41.6,39.31, Overcast , Partly cloudy throughout the day. ,0.0,0.0,0.81,3.84,3.84,1544846400.0,9.768,46.7,1544814000.0,40.93,1544835600.0,44.06,1544817600.0,38.98,1544835600.0, cloudy ,36.14,1027.4,183.0,0.89,0.0,9.768,290.1,1544789245.0,1544822025.0,0.24,0.0,1544806800.0,26.51,1544788800.0,46.7,1544814000.0,27.16,1544788800.0,44.06,1544817600.0
2,b2945f0f-7850-48a3-ba76-5585a5180104,1543280782.0,1.0,27.0,11.0,11/27/18 01:06,America/New_York,Financial District,South Station,Lyft,lyft,Lyft,7.0,0.46,1.0,42.2148,-71.033,43.61,37.38, Rain ," Rain until morning, starting again in the evening. ",0.1264,1.0,0.94,12.0,12.0,1543291200.0,5.235,47.3,1543251600.0,42.1,1543298400.0,43.92,1543251600.0,36.2,1543291200.0, rain ,41.98,1004.51,90.0,1.0,0.0,5.235,291.7,1543232969.0,1543266992.0,0.64,0.13,1543251600.0,40.49,1543233600.0,47.3,1543251600.0,36.2,1543291200.0,43.92,1543251600.0
3,775529d3-1200-4561-a80f-611e1f25ea04,1544836512.0,1.0,15.0,12.0,12/15/18 01:15,America/New_York,Back Bay,Northeastern University,Lyft,lyft_line,Shared,3.0,1.08,1.0,42.3398,-71.0892,41.77,39.35, Overcast , Partly cloudy throughout the day. ,0.0,0.0,0.87,4.02,4.08,1544846400.0,9.808,46.9,1544814000.0,40.75,1544835600.0,44.15,1544817600.0,38.71,1544835600.0, cloudy ,38.09,1025.95,191.0,0.99,0.0,9.808,292.2,1544789239.0,1544822023.0,0.24,0.0,1544806800.0,26.76,1544788800.0,46.9,1544814000.0,27.41,1544788800.0,44.15,1544817600.0
4,e54bc67a-c618-4e3a-b656-effb809e7509,1543432988.0,19.0,28.0,11.0,11/28/18 19:23,America/New_York,Theatre District,Haymarket Square,Uber,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,27.0,1.61,1.0,42.3503,-71.081,41.47,35.66, Overcast , Mostly cloudy throughout the day. ,0.0,0.0,0.63,9.54,14.86,1543431600.0,10.0,42.72,1543438800.0,37.59,1543485600.0,36.75,1543438800.0,32.25,1543478400.0, cloudy ,29.72,991.85,295.0,1.0,0.0,10.0,354.2,1543405940.0,1543439725.0,0.72,0.0,1543420800.0,33.82,1543399200.0,42.72,1543438800.0,30.19,1543399200.0,36.75,1543438800.0
6,f8a2fbb6-44f5-4572-b597-4e070147c9b8,1543431188.0,18.0,28.0,11.0,11/28/18 18:53,America/New_York,Beacon Hill,Fenway,Uber,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,6.5,2.32,1.0,42.3647,-71.0542,40.92,35.13, Overcast , Mostly cloudy throughout the day. ,0.0,0.0,0.64,9.21,15.03,1543431600.0,10.0,42.61,1543438800.0,37.6,1543489200.0,36.57,1543438800.0,32.12,1543478400.0, cloudy ,29.57,991.21,296.0,1.0,1.0,10.0,353.1,1543405936.0,1543439716.0,0.72,0.0,1543420800.0,33.85,1543399200.0,42.61,1543438800.0,30.03,1543399200.0,36.57,1543438800.0
7,f7ba9e54-a41f-4d28-97f1-2e5dcfb43503,1544809215.0,17.0,14.0,12.0,12/14/18 17:40,America/New_York,Boston University,Financial District,Uber,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,41.5,4.74,1.0,42.3503,-71.081,44.89,43.2, Partly Cloudy , Partly cloudy throughout the day. ,0.0,0.0,0.54,3.73,3.73,1544846400.0,9.962,46.68,1544814000.0,40.9,1544832000.0,43.98,1544817600.0,38.85,1544835600.0, partly-cloudy-day ,29.03,1030.83,167.0,0.16,1.0,9.962,289.1,1544789240.0,1544822019.0,0.24,0.0,1544806800.0,26.93,1544788800.0,46.68,1544814000.0,27.58,1544788800.0,43.98,1544817600.0
8,c3acfd8c-1615-4964-891c-3d43552b2082,1545054612.0,13.0,17.0,12.0,12/17/18 13:50,America/New_York,Financial District,South Station,Uber,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,6.0,0.39,1.0,42.3519,-71.0551,35.19,28.8, Overcast , Light rain in the morning. ,0.0,0.0,0.89,7.88,8.47,1545022800.0,8.459,41.44,1545076800.0,23.93,1545138000.0,35.95,1545076800.0,11.82,1545134400.0, cloudy ,32.17,1004.17,329.0,1.0,0.0,8.459,325.3,1545048555.0,1545081260.0,0.33,0.0175,1545066000.0,34.14,1545044400.0,41.44,1545076800.0,28.12,1545044400.0,35.95,1545076800.0
9,942d6f6b-e6dd-45b8-bbd3-8264e7bb9006,1545154512.0,17.0,18.0,12.0,12/18/18 17:35,America/New_York,North Station,Fenway,Uber,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,10.5,3.05,1.0,42.3429,-71.1003,30.78,20.93, Clear , Mostly cloudy throughout the day. ,0.0,0.0,0.4,12.73,22.33,1545127200.0,10.0,32.84,1545159600.0,20.72,1545220800.0,22.96,1545159600.0,14.48,1545195600.0, clear-day ,9.15,1010.6,322.0,0.0,1.0,10.0,377.1,1545135001.0,1545167693.0,0.37,0.0056,1545152400.0,22.98,1545192000.0,37.95,1545109200.0,12.13,1545134400.0,32.03,1545109200.0
11,6fb2f93a-69d7-40f0-8ff1-4a53cd1c945f,1543656178.0,9.0,1.0,12.0,12/1/18 09:22,America/New_York,Financial District,Haymarket Square,Lyft,lyft_luxsuv,Lux Black XL,27.5,1.25,1.0,42.3429,-71.1003,31.87,27.83, Mostly Cloudy , Light rain in the morning and overnight. ,0.0,0.0,0.82,4.09,4.09,1543672800.0,9.687,44.82,1543690800.0,34.57,1543712400.0,44.15,1543690800.0,35.22,1543712400.0, partly-cloudy-night ,26.99,1019.9,312.0,0.52,0.0,9.687,282.9,1543665338.0,1543698866.0,0.82,0.0,1543683600.0,31.11,1543662000.0,44.82,1543690800.0,27.8,1543662000.0,44.15,1543690800.0
12,5e714e88-55c5-42bc-8ae4-0c9d2cebc72f,1545063006.0,16.0,17.0,12.0,12/17/18 16:10,America/New_York,Northeastern University,Financial District,Uber,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,22.5,4.55,1.0,42.3505,-71.1054,37.62,32.77, Overcast , Light rain in the morning. ,0.0,0.0,0.88,6.22,7.24,1545022800.0,8.54,41.44,1545076800.0,24.05,1545134400.0,36.09,1545076800.0,12.3,1545134400.0, cloudy ,34.53,1001.67,309.0,1.0,1.0,8.54,327.0,1545048567.0,1545081273.0,0.33,0.0217,1545066000.0,34.22,1545044400.0,41.44,1545076800.0,28.61,1545044400.0,36.09,1545076800.0
13,f2408b92-adef-44e5-afd9-708dbe28460a,1545045013.0,11.0,17.0,12.0,12/17/18 11:10,America/New_York,North Station,Northeastern University,Uber,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,31.5,3.3,1.0,42.3503,-71.081,34.87,28.73, Overcast , Light rain in the morning. ,0.0023,0.16,0.93,7.37,8.18,1545022800.0,8.275,41.51,1545076800.0,24.05,1545134400.0,36.11,1545076800.0,12.12,1545134400.0, cloudy ,32.99,1004.23,340.0,1.0,0.0,8.275,326.2,1545048561.0,1545081267.0,0.33,0.0183,1545066000.0,34.24,1545044400.0,41.51,1545076800.0,28.43,1545044400.0,36.11,1545076800.0
14,a586b526-f5dd-4910-a0e1-c2a201c178a1,1543352243.0,20.0,27.0,11.0,11/27/18 20:57,America/New_York,Theatre District,Northeastern University,Lyft,lyft_luxsuv,Lux Black XL,38.5,2.16,1.25,42.3647,-71.0542,43.02,37.56, Mostly Cloudy , Light rain in the morning. ,0.0,0.0,0.69,9.55,11.74,1543338000.0,10.0,47.11,1543320000.0,33.85,1543399200.0,44.14,1543320000.0,30.03,1543399200.0, partly-cloudy-day ,33.71,991.0,256.0,0.82,0.0,10.0,311.4,1543319468.0,1543353343.0,0.68,0.143,1543338000.0,36.34,1543377600.0,47.11,1543320000.0,32.26,1543377600.0,44.14,1543320000.0
15,6e4fd340-f7b7-4bf5-bb89-62de898ae183,1545145508.0,15.0,18.0,12.0,12/18/18 15:05,America/New_York,Fenway,West End,Lyft,lyft_plus,Lyft XL,16.5,2.78,1.0,42.3647,-71.0542,27.41,16.07, Partly Cloudy , Mostly cloudy throughout the day. ,0.0,0.0,0.46,14.11,24.43,1545127200.0,10.0,32.8,1545159600.0,20.88,1545220800.0,22.69,1545159600.0,14.31,1545199200.0, partly-cloudy-day ,9.37,1010.13,318.0,0.43,1.0,10.0,376.9,1545134994.0,1545167678.0,0.37,0.0028,1545152400.0,23.23,1545192000.0,38.11,1545109200.0,11.86,1545134400.0,31.96,1545109200.0
